project,title,short,url_shiny,publish,last_modified,github_url,dir_shiny,delay_secs,do,url_tmp
MBON,eDNA Explorer,edna,https://ecoquants.shinyapps.io/edna-vis,T,,https://github.com/marinebon/edna-vis,~/github/edna-vis/shiny,2,dir,
OHI,Ocean Health Index,ohi-global,http://ohi-science.nceas.ucsb.edu/ohi-global,T,,https://github.com/ohi-science/ohi-global/tree/app,~/github/ohi-global,10,url_tmp,http://127.0.0.1:7143/
EcoQuants,Water Quality Check,wqck,http://waterqualitycheck.com/,T,,https://github.com/bbest/wqck-app,~/github/wqck-app,2,dir,
